"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Värmdö","Gustavsberg",18.384389273,59.31942208,"2","60",true,false,true,false,"8516","2024-12-18","Ungdomslägenhet"
"Upplands Väsby","Väsby Centrum",17.91522932,59.517140037,"2","52",true,true,false,false,"12549","2024-12-18","Hyresrätt"
"Stockholm","Bredäng",17.938853843,59.290382882,"3","77",true,false,false,false,"7824","2024-12-18","Hyresrätt"
"Nacka","Fisksätra",18.25640795,59.291304685,"2","65",true,false,false,false,"12665","2024-12-18","Hyresrätt"
"Upplands Väsby","Väsby Centrum",17.91522932,59.517140037,"2","65",true,false,false,false,"9930","2024-12-18","Hyresrätt"
"Vallentuna","Vallentuna C",18.074323095,59.537903093,"4","101",true,false,false,false,"10252","2024-12-18","Hyresrätt"
"Upplands Väsby","Väsby Centrum",17.91522932,59.517140037,"2","61",true,false,false,false,"9930","2024-12-18","Hyresrätt"
"Stockholm","Midsommarkransen",18.003845,59.297646,"1","26",false,true,false,false,"10091","2024-12-18","Korttidskontrakt"
"Stockholm","Midsommarkransen",18.003845,59.297646,"1","27",false,true,false,false,"10235","2024-12-18","Korttidskontrakt"
"Nacka","Orminge",18.23246,59.340057,"2","66",false,true,false,false,"10245","2024-12-18","Hyresrätt"
"Sigtuna","Märsta Centrum",17.85761572,59.622399122,"1","33",true,true,false,false,"10208","2024-12-18","Hyresrätt"
"Stockholm","Södra Hammarbyhamnen",18.104483877,59.301842824,"1","33",true,true,false,false,"12349","2024-12-18","Studentlägenhet"
"Stockholm","Södra Hammarbyhamnen",18.103733015,59.310234445,"4","102",true,true,false,false,"13007","2024-12-18","Hyresrätt"
"Stockholm","Midsommarkransen",18.003166,59.29745,"3","75",true,true,false,false,"10510","2024-12-18","Korttidskontrakt"
"Stockholm","Ladugårdsgärdet",18.102524818,59.346741506,"1","20",false,true,false,false,"5322","2024-12-18","Studentlägenhet"
"Värmdö","Gustavsberg",18.384625162,59.322767291,"1","22",false,true,false,false,"10294","2024-12-18","Hyresrätt"
"Stockholm","Bredäng",17.937927459,59.290164582,"2","31",false,true,true,false,"5859","2024-12-18","Ungdomslägenhet"
"Stockholm","Årsta",18.057513875,59.294150327,"2","32",false,true,false,false,"7269","2024-12-18","Studentlägenhet"
"Huddinge","Flemingsberg",17.939990434,59.212070923,"1","24",false,true,false,false,"5051","2024-12-18","Studentlägenhet"
"Stockholm","Bandhagen",18.056244,59.268536,"1","24",false,true,false,false,"10802","2024-12-18","Hyresrätt"
"Huddinge","Flemingsberg",17.936717874,59.212106632,"2","27",false,true,false,false,"4593","2024-12-18","Studentkorridor"
"Stockholm","Älvsjö",18.01067336,59.279165291,"2","29",false,true,false,false,"12708","2024-12-18","Hyresrätt"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"2","45",true,true,false,false,"5407","2024-12-18","Studentlägenhet"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"1","27",true,true,false,false,"6777","2024-12-18","Studentlägenhet"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"4","80",true,false,false,false,"4511","2024-12-18","Studentlägenhet"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"1","29",true,true,false,false,"9035","2024-12-18","Studentlägenhet"
"Stockholm","Mariehäll",17.950737,59.362877,"3","82",true,false,false,false,"14737","2024-12-18","Hyresrätt"
"Stockholm","Västertorp",17.966445484,59.292029276,"2","44",false,true,false,false,"7581","2024-12-18","Hyresrätt"
"Stockholm","Norra Djurgården",18.094106913,59.359336411,"1","27",true,true,false,false,"17525","2024-12-18","Hyresrätt"
"Södertälje","Geneta",17.577991662,59.195751845,"1","29",true,false,false,false,"9364","2024-12-18","Hyresrätt"
"Stockholm","Rinkeby",17.933135512,59.386575021,"5","128",true,true,false,false,"9142","2024-12-18","Hyresrätt"
"Stockholm","Blackeberg",17.879757931,59.345797284,"2","48",true,true,false,false,"8892","2024-12-18","Hyresrätt"
"Solna","Bergshamra",18.033967718,59.381829865,"2","51",true,false,true,false,"5552","2024-12-18","UngdomKorttid"
